Maternal genotype,A1,A1,A2,A2,A3,A3,A4,A4
"A1B1,A1B1",1,0,0,0,0,0,0,0
"A1B1,A1B2",1/2,1/2,0,0,0,0,0,0
"A1B1,A2B1",1/2 - c/2,0,c*j*p/2 + c*j*(1 - p)/2 + c*(1 - j) - c/2 + 1/2,0,c*j*(1 - p)/2,0,c*j*p/2,0
"A1B1,A2B2",(1/2 - r/2)*(1 - c),r*(1 - c)/2,c*j*p*r/2 + c*j*r*(1 - p)/2 + c*(1 - j)/2 + r*(1 - c)/2,c*j*p*(1/2 - r/2) + c*j*(1/2 - r/2)*(1 - p) + c*(1 - j)/2 + (1/2 - r/2)*(1 - c),c*j*(1/2 - r/2)*(1 - p),c*j*r*(1 - p)/2,c*j*p*(1/2 - r/2),c*j*p*r/2
"A1B1,A3B1",1/2,0,0,0,1/2,0,0,0
"A1B1,A3B2",1/2 - r/2,r/2,0,0,r/2,1/2 - r/2,0,0
"A1B1,A4B1",1/2,0,0,0,0,0,1/2,0
"A1B1,A4B2",1/2 - r/2,r/2,0,0,0,0,r/2,1/2 - r/2
"A1B2,A1B2",0,1,0,0,0,0,0,0
"A1B2,A2B1",r*(1 - c)/2,(1/2 - r/2)*(1 - c),c*j*p*(1/2 - r/2) + c*j*(1/2 - r/2)*(1 - p) + c*(1 - j)/2 + (1/2 - r/2)*(1 - c),c*j*p*r/2 + c*j*r*(1 - p)/2 + c*(1 - j)/2 + r*(1 - c)/2,c*j*r*(1 - p)/2,c*j*(1/2 - r/2)*(1 - p),c*j*p*r/2,c*j*p*(1/2 - r/2)
"A1B2,A2B2",0,1/2 - c/2,0,c*j*p/2 + c*j*(1 - p)/2 + c*(1 - j) - c/2 + 1/2,0,c*j*(1 - p)/2,0,c*j*p/2
"A1B2,A3B1",r/2,1/2 - r/2,0,0,1/2 - r/2,r/2,0,0
"A1B2,A3B2",0,1/2,0,0,0,1/2,0,0
"A1B2,A4B1",r/2,1/2 - r/2,0,0,0,0,1/2 - r/2,r/2
"A1B2,A4B2",0,1/2,0,0,0,0,0,1/2
"A2B1,A2B1",0,0,1,0,0,0,0,0
"A2B1,A2B2",0,0,1/2,1/2,0,0,0,0
"A2B1,A3B1",0,0,1/2,0,1/2,0,0,0
"A2B1,A3B2",0,0,1/2 - r/2,r/2,r/2,1/2 - r/2,0,0
"A2B1,A4B1",0,0,1/2,0,0,0,1/2,0
"A2B1,A4B2",0,0,1/2 - r/2,r/2,0,0,r/2,1/2 - r/2
"A2B2,A2B2",0,0,0,1,0,0,0,0
"A2B2,A3B1",0,0,r/2,1/2 - r/2,1/2 - r/2,r/2,0,0
"A2B2,A3B2",0,0,0,1/2,0,1/2,0,0
"A2B2,A4B1",0,0,r/2,1/2 - r/2,0,0,1/2 - r/2,r/2
"A2B2,A4B2",0,0,0,1/2,0,0,0,1/2
"A3B1,A3B1",0,0,0,0,1,0,0,0
"A3B1,A3B2",0,0,0,0,1/2,1/2,0,0
"A3B1,A4B1",0,0,0,0,1/2,0,1/2,0
"A3B1,A4B2",0,0,0,0,1/2 - r/2,r/2,r/2,1/2 - r/2
"A3B2,A3B2",0,0,0,0,0,1,0,0
"A3B2,A4B1",0,0,0,0,r/2,1/2 - r/2,1/2 - r/2,r/2
"A3B2,A4B2",0,0,0,0,0,1/2,0,1/2
"A4B1,A4B1",0,0,0,0,0,0,1,0
"A4B1,A4B2",0,0,0,0,0,0,1/2,1/2
"A4B2,A4B2",0,0,0,0,0,0,0,1
