Paternal genotype,A1Y,A1Y,A2Y,A2Y,A3Y,A3Y,A4Y,A4Y,A1X,A1X,A2X,A2X,A3X,A3X,A4X,A4X
"A1B1,A1B1",1/2,0,0,0,0,0,0,0,1/2,0,0,0,0,0,0,0
"A1B1,A1B2",m/2,m/2,0,0,0,0,0,0,1/2 - m/2,1/2 - m/2,0,0,0,0,0,0
"A1B1,A2B1",1/4 - c/4,0,c*j*p/4 + c*j*(1 - p)/4 + c*(1 - j)/2 - c/4 + 1/4,0,c*j*(1 - p)/4,0,c*j*p/4,0,1/4 - c/4,0,c*j*p/4 + c*j*(1 - p)/4 + c*(1 - j)/2 - c/4 + 1/4,0,c*j*(1 - p)/4,0,c*j*p/4,0
"A1B1,A2B2",m*(1/2 - r/2)*(1 - c),m*r*(1 - c)/2,c*j*m*p*r/2 + c*j*m*r*(1 - p)/2 + c*m*(1 - j)/2 + m*r*(1 - c)/2,c*j*m*p*(1/2 - r/2) + c*j*m*(1/2 - r/2)*(1 - p) + c*m*(1 - j)/2 + m*(1/2 - r/2)*(1 - c),c*j*m*(1/2 - r/2)*(1 - p),c*j*m*r*(1 - p)/2,c*j*m*p*(1/2 - r/2),c*j*m*p*r/2,(1/2 - r/2)*(1 - c)*(1 - m),r*(1 - c)*(1 - m)/2,c*j*p*r*(1 - m)/2 + c*j*r*(1 - m)*(1 - p)/2 + c*(1 - j)*(1 - m)/2 + r*(1 - c)*(1 - m)/2,c*j*p*(1/2 - r/2)*(1 - m) + c*j*(1/2 - r/2)*(1 - m)*(1 - p) + c*(1 - j)*(1 - m)/2 + (1/2 - r/2)*(1 - c)*(1 - m),c*j*(1/2 - r/2)*(1 - m)*(1 - p),c*j*r*(1 - m)*(1 - p)/2,c*j*p*(1/2 - r/2)*(1 - m),c*j*p*r*(1 - m)/2
"A1B1,A3B1",1/4,0,0,0,1/4,0,0,0,1/4,0,0,0,1/4,0,0,0
"A1B1,A3B2",m*(1/2 - r/2),m*r/2,0,0,m*r/2,m*(1/2 - r/2),0,0,(1/2 - r/2)*(1 - m),r*(1 - m)/2,0,0,r*(1 - m)/2,(1/2 - r/2)*(1 - m),0,0
"A1B1,A4B1",1/4,0,0,0,0,0,1/4,0,1/4,0,0,0,0,0,1/4,0
"A1B1,A4B2",m*(1/2 - r/2),m*r/2,0,0,0,0,m*r/2,m*(1/2 - r/2),(1/2 - r/2)*(1 - m),r*(1 - m)/2,0,0,0,0,r*(1 - m)/2,(1/2 - r/2)*(1 - m)
"A1B2,A1B2",0,m,0,0,0,0,0,0,0,1 - m,0,0,0,0,0,0
"A1B2,A2B1",m*r*(1 - c)/2,m*(1/2 - r/2)*(1 - c),c*j*m*p*(1/2 - r/2) + c*j*m*(1/2 - r/2)*(1 - p) + c*m*(1 - j)/2 + m*(1/2 - r/2)*(1 - c),c*j*m*p*r/2 + c*j*m*r*(1 - p)/2 + c*m*(1 - j)/2 + m*r*(1 - c)/2,c*j*m*r*(1 - p)/2,c*j*m*(1/2 - r/2)*(1 - p),c*j*m*p*r/2,c*j*m*p*(1/2 - r/2),r*(1 - c)*(1 - m)/2,(1/2 - r/2)*(1 - c)*(1 - m),c*j*p*(1/2 - r/2)*(1 - m) + c*j*(1/2 - r/2)*(1 - m)*(1 - p) + c*(1 - j)*(1 - m)/2 + (1/2 - r/2)*(1 - c)*(1 - m),c*j*p*r*(1 - m)/2 + c*j*r*(1 - m)*(1 - p)/2 + c*(1 - j)*(1 - m)/2 + r*(1 - c)*(1 - m)/2,c*j*r*(1 - m)*(1 - p)/2,c*j*(1/2 - r/2)*(1 - m)*(1 - p),c*j*p*r*(1 - m)/2,c*j*p*(1/2 - r/2)*(1 - m)
"A1B2,A2B2",0,m*(1 - c)/2,0,c*j*m*p/2 + c*j*m*(1 - p)/2 + c*m*(1 - j) + m*(1 - c)/2,0,c*j*m*(1 - p)/2,0,c*j*m*p/2,0,(1 - c)*(1 - m)/2,0,c*j*p*(1 - m)/2 + c*j*(1 - m)*(1 - p)/2 + c*(1 - j)*(1 - m) + (1 - c)*(1 - m)/2,0,c*j*(1 - m)*(1 - p)/2,0,c*j*p*(1 - m)/2
"A1B2,A3B1",m*r/2,m*(1/2 - r/2),0,0,m*(1/2 - r/2),m*r/2,0,0,r*(1 - m)/2,(1/2 - r/2)*(1 - m),0,0,(1/2 - r/2)*(1 - m),r*(1 - m)/2,0,0
"A1B2,A3B2",0,m/2,0,0,0,m/2,0,0,0,1/2 - m/2,0,0,0,1/2 - m/2,0,0
"A1B2,A4B1",m*r/2,m*(1/2 - r/2),0,0,0,0,m*(1/2 - r/2),m*r/2,r*(1 - m)/2,(1/2 - r/2)*(1 - m),0,0,0,0,(1/2 - r/2)*(1 - m),r*(1 - m)/2
"A1B2,A4B2",0,m/2,0,0,0,0,0,m/2,0,1/2 - m/2,0,0,0,0,0,1/2 - m/2
"A2B1,A2B1",0,0,1/2,0,0,0,0,0,0,0,1/2,0,0,0,0,0
"A2B1,A2B2",0,0,m/2,m/2,0,0,0,0,0,0,1/2 - m/2,1/2 - m/2,0,0,0,0
"A2B1,A3B1",0,0,1/4,0,1/4,0,0,0,0,0,1/4,0,1/4,0,0,0
"A2B1,A3B2",0,0,m*(1/2 - r/2),m*r/2,m*r/2,m*(1/2 - r/2),0,0,0,0,(1/2 - r/2)*(1 - m),r*(1 - m)/2,r*(1 - m)/2,(1/2 - r/2)*(1 - m),0,0
"A2B1,A4B1",0,0,1/4,0,0,0,1/4,0,0,0,1/4,0,0,0,1/4,0
"A2B1,A4B2",0,0,m*(1/2 - r/2),m*r/2,0,0,m*r/2,m*(1/2 - r/2),0,0,(1/2 - r/2)*(1 - m),r*(1 - m)/2,0,0,r*(1 - m)/2,(1/2 - r/2)*(1 - m)
"A2B2,A2B2",0,0,0,m,0,0,0,0,0,0,0,1 - m,0,0,0,0
"A2B2,A3B1",0,0,m*r/2,m*(1/2 - r/2),m*(1/2 - r/2),m*r/2,0,0,0,0,r*(1 - m)/2,(1/2 - r/2)*(1 - m),(1/2 - r/2)*(1 - m),r*(1 - m)/2,0,0
"A2B2,A3B2",0,0,0,m/2,0,m/2,0,0,0,0,0,1/2 - m/2,0,1/2 - m/2,0,0
"A2B2,A4B1",0,0,m*r/2,m*(1/2 - r/2),0,0,m*(1/2 - r/2),m*r/2,0,0,r*(1 - m)/2,(1/2 - r/2)*(1 - m),0,0,(1/2 - r/2)*(1 - m),r*(1 - m)/2
"A2B2,A4B2",0,0,0,m/2,0,0,0,m/2,0,0,0,1/2 - m/2,0,0,0,1/2 - m/2
"A3B1,A3B1",0,0,0,0,1/2,0,0,0,0,0,0,0,1/2,0,0,0
"A3B1,A3B2",0,0,0,0,m/2,m/2,0,0,0,0,0,0,1/2 - m/2,1/2 - m/2,0,0
"A3B1,A4B1",0,0,0,0,1/4,0,1/4,0,0,0,0,0,1/4,0,1/4,0
"A3B1,A4B2",0,0,0,0,m*(1/2 - r/2),m*r/2,m*r/2,m*(1/2 - r/2),0,0,0,0,(1/2 - r/2)*(1 - m),r*(1 - m)/2,r*(1 - m)/2,(1/2 - r/2)*(1 - m)
"A3B2,A3B2",0,0,0,0,0,m,0,0,0,0,0,0,0,1 - m,0,0
"A3B2,A4B1",0,0,0,0,m*r/2,m*(1/2 - r/2),m*(1/2 - r/2),m*r/2,0,0,0,0,r*(1 - m)/2,(1/2 - r/2)*(1 - m),(1/2 - r/2)*(1 - m),r*(1 - m)/2
"A3B2,A4B2",0,0,0,0,0,m/2,0,m/2,0,0,0,0,0,1/2 - m/2,0,1/2 - m/2
"A4B1,A4B1",0,0,0,0,0,0,1/2,0,0,0,0,0,0,0,1/2,0
"A4B1,A4B2",0,0,0,0,0,0,m/2,m/2,0,0,0,0,0,0,1/2 - m/2,1/2 - m/2
"A4B2,A4B2",0,0,0,0,0,0,0,m,0,0,0,0,0,0,0,1 - m
